,City,Country,Date,Lat,Lng,Max Temp,Wind Speed,Cloudiness,Humidity
72,guhagar,IN,2020-02-08 17:28:46,17.48,73.19,24.68,3.61,0,64
73,nha trang,VN,2020-02-08 17:28:46,12.25,109.18,25.0,5.1,75,88
74,port macquarie,AU,2020-02-08 17:28:46,-31.43,152.92,22.0,1.0,75,94
75,tonj,SS,2020-02-08 17:28:46,7.27,28.68,30.66,2.3,85,17
76,ginir,ET,2020-02-08 17:28:46,7.13,40.7,17.71,1.46,54,37
77,kodiak,US,2020-02-08 17:28:46,57.79,-152.41,4.0,3.1,75,77
78,lanxi,CN,2020-02-08 17:28:46,29.22,119.48,4.52,1.12,84,85
79,ligatne,LV,2020-02-08 17:28:46,57.23,25.04,1.67,0.89,98,97
80,jiaonan,CN,2020-02-08 17:28:46,35.88,119.98,1.67,2.0,0,86
81,geraldton,AU,2020-02-08 17:28:46,-28.77,114.6,22.0,9.8,75,68
82,hermanus,ZA,2020-02-08 17:28:46,-34.42,19.23,25.56,0.89,58,64
83,galle,LK,2020-02-08 17:28:46,6.04,80.22,27.36,4.14,86,67
84,maceio,BR,2020-02-08 17:28:46,-9.67,-35.74,32.0,6.7,40,52
85,soyo,AO,2020-02-08 17:28:46,-6.13,12.37,29.0,3.1,75,83
86,tiksi,RU,2020-02-08 17:28:46,71.69,128.87,-27.49,3.01,0,63
87,ponta do sol,PT,2020-02-08 17:27:26,32.67,-17.1,20.0,2.6,40,68
88,harrison,US,2020-02-08 17:28:46,30.41,-89.04,17.78,3.6,90,72
89,dingle,PH,2020-02-08 17:28:46,11.0,122.67,23.0,3.06,78,97
90,torbay,CA,2020-02-08 17:28:46,47.67,-52.73,0.0,19.5,75,68
91,half moon bay,US,2020-02-08 17:28:46,37.46,-122.43,11.11,5.1,1,87
92,bredasdorp,ZA,2020-02-08 17:28:47,-34.53,20.04,24.44,5.7,37,78
93,souillac,MU,2020-02-08 17:28:47,-20.52,57.52,26.0,4.1,75,83
94,myingyan,MM,2020-02-08 17:28:47,21.47,95.38,21.61,0.85,0,45
95,cap malheureux,MU,2020-02-08 17:28:47,-19.98,57.61,26.0,4.1,75,83
96,bandarbeyla,SO,2020-02-08 17:25:06,9.49,50.81,24.72,7.43,39,73
97,todos santos,MX,2020-02-08 17:28:47,23.45,-110.22,21.67,3.1,75,30
98,jieshi,CN,2020-02-08 17:28:47,22.81,115.83,13.65,4.04,78,74
99,butaritari,KI,2020-02-08 17:28:47,3.07,172.79,28.79,10.15,99,79
100,provideniya,RU,2020-02-08 17:28:47,64.38,-173.3,-29.52,5.6,34,90
101,namibe,AO,2020-02-08 17:28:47,-15.2,12.15,24.45,5.85,91,86
102,la oroya,PE,2020-02-08 17:28:47,-11.52,-75.9,10.81,1.56,71,64
103,havoysund,NO,2020-02-08 17:28:47,71.0,24.66,4.0,8.2,100,86
104,san juan,AR,2020-02-08 17:28:29,-31.54,-68.54,31.87,6.32,15,33
105,salta,AR,2020-02-08 17:24:35,-24.79,-65.41,27.0,1.5,75,69
106,cabo san lucas,MX,2020-02-08 17:25:12,22.89,-109.91,22.22,3.1,40,49
107,rawson,AR,2020-02-08 17:28:47,-43.3,-65.1,15.98,4.75,22,71
108,pevek,RU,2020-02-08 17:28:47,69.7,170.31,-33.26,0.55,98,100
109,weihe,CN,2020-02-08 17:28:47,33.0,105.32,2.15,1.72,81,50
110,atuona,PF,2020-02-08 17:28:47,-9.8,-139.03,26.95,8.34,0,74
111,annau,TM,2020-02-08 17:28:47,37.89,58.52,19.81,1.77,5,29
112,andenes,NO,2020-02-08 17:28:47,69.31,16.12,4.0,5.7,98,86
113,ancud,CL,2020-02-08 17:28:47,-41.87,-73.82,21.0,4.1,0,43
114,pandan,PH,2020-02-08 17:28:47,14.05,124.17,26.18,9.12,3,83
115,aitape,PG,2020-02-08 17:28:48,-3.14,142.35,27.02,5.69,86,84
116,tomatlan,MX,2020-02-08 17:28:48,19.93,-105.25,29.59,0.69,32,41
117,stity,CZ,2020-02-08 17:28:48,49.96,16.77,1.67,2.24,3,85
118,dhangadhi,NP,2020-02-08 17:28:48,28.71,80.6,11.42,1.96,0,72
119,udachnyy,RU,2020-02-08 17:28:48,66.42,112.4,-15.0,3.0,90,77
120,esperance,AU,2020-02-08 17:28:48,-33.87,121.9,20.0,9.8,90,82
121,fairbanks,US,2020-02-08 17:26:49,64.84,-147.72,-7.22,2.12,20,84
122,tocopilla,CL,2020-02-08 17:28:48,-22.09,-70.2,24.37,5.73,77,33
123,marawi,PH,2020-02-08 17:28:48,8.0,124.29,22.78,1.34,65,89
124,codrington,AU,2020-02-08 17:28:48,-38.27,141.97,18.3,8.38,0,84
125,nouadhibou,MR,2020-02-08 17:28:48,20.93,-17.03,23.0,8.7,7,60
126,liverpool,GB,2020-02-08 17:28:48,53.41,-2.98,9.44,10.3,40,76
127,otane,NZ,2020-02-08 17:28:48,-39.88,176.63,8.89,1.03,99,91
128,cordoba,AR,2020-02-08 17:23:52,-31.41,-64.18,27.22,3.6,75,73
129,ribeira grande,PT,2020-02-08 17:28:48,38.52,-28.7,17.0,8.2,75,93
130,arraial do cabo,BR,2020-02-08 17:27:00,-22.97,-42.03,30.0,7.7,0,65
131,yatou,CN,2020-02-08 17:28:48,37.15,122.38,-0.14,4.13,54,67
132,norman wells,CA,2020-02-08 17:28:48,65.28,-126.83,-22.0,3.1,75,76
133,dudinka,RU,2020-02-08 17:28:48,69.41,86.18,-24.0,5.0,90,76
134,lavrentiya,RU,2020-02-08 17:28:48,65.58,-171.0,-29.65,3.58,53,93
135,baruun-urt,MN,2020-02-08 17:28:49,46.68,113.28,-12.61,4.43,29,76
136,vagur,FO,2020-02-08 17:28:49,61.47,-6.81,5.75,15.75,88,71
137,ola,RU,2020-02-08 17:28:49,59.58,151.28,-22.0,3.77,96,65
138,sokolo,ML,2020-02-08 17:28:49,14.73,-6.12,28.48,2.24,0,6
139,carnarvon,AU,2020-02-08 17:28:49,-24.87,113.63,25.0,9.8,40,88
140,victoria,HK,2020-02-08 17:24:36,22.29,114.16,17.0,1.5,20,67
141,cayenne,GF,2020-02-08 17:25:50,4.93,-52.33,29.0,8.2,75,70
142,narsaq,GL,2020-02-08 17:28:49,60.92,-46.05,-8.0,1.0,75,44
143,saint george,US,2020-02-08 17:28:35,37.1,-113.58,10.0,2.1,1,55
144,isangel,VU,2020-02-08 17:28:49,-19.55,169.27,26.74,8.23,87,87
145,tezu,IN,2020-02-08 17:28:49,27.92,96.17,13.42,1.24,9,50
146,port hedland,AU,2020-02-08 17:28:49,-20.32,118.57,28.0,11.8,90,83
147,bluff,NZ,2020-02-08 17:28:49,-46.6,168.33,10.56,5.81,99,94
148,hithadhoo,MV,2020-02-08 17:28:49,-0.6,73.08,27.95,4.98,22,79
149,booue,GA,2020-02-08 17:28:49,-0.09,11.94,24.48,1.5,87,91
150,aykhal,RU,2020-02-08 17:28:49,66.0,111.5,-15.0,3.0,90,77
151,tasiilaq,GL,2020-02-08 17:28:49,65.61,-37.64,0.0,18.0,90,83
152,muisne,EC,2020-02-08 17:28:49,0.6,-80.03,26.0,1.5,75,88
153,cherskiy,RU,2020-02-08 17:28:49,68.75,161.3,-35.63,1.43,95,75
154,luderitz,NA,2020-02-08 17:28:49,-26.65,15.16,22.0,7.7,0,68
155,jucurutu,BR,2020-02-08 17:28:49,-6.03,-37.02,35.85,4.13,5,25
